Number of ports,Number of nets,Number of cells,Number of combinational cells,Number of sequential cells,Number of macros/black boxes,Number of buf/inv,Number of references,Combinational area,Buf/Inv area,Noncombinational area,Macro/Black Box area,Total cell area,Cell Internal Power (mW),Net Switching Power (mW),Total Dynamic Power (mW),Cell Leakage Power (mW),IO_Pad Internal Power,IO_Pad Switching Power,IO_Pad Leakage Power,IO_Pad Total Power,Memory Internal Power,Memory Switching Power,Memory Leakage Power,Memory Total Power,Black_Box Internal Power,Black_Box Switching Power,Black_Box Leakage Power,Black_Box Total Power,Clock_Network Internal Power,Clock_Network Switching Power,Clock_Network Leakage Power,Clock_Network Total Power,Register Internal Power,Register Switching Power,Register Leakage Power,Register Total Power,Sequential Internal Power,Sequential Switching Power,Sequential Leakage Power,Sequential Total Power,Combinational Internal Power,Combinational Switching Power,Combinational Leakage Power,Combinational Total Power,Total Internal Power,Total Switching Power,Total Leakage Power,Total Total Power,Label,Circuit
26623,198177,172368,164960,6850,0,19504,22,173046.832023,10376.128102,30966.654877,0,204013.486899,45.5597,38.9455,84.5052,5.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27307,6251.3,541760,34100,0,0,0,0,18253,32696,5135800,56082,45560,38947,5677500,90182,'Trojan Free','AES'
27289,198776,172486,164991,6934,0,19504,2,173081.678022,10376.128102,31346.502863,0,204428.180885,45.8198,38.9611,84.7809,5.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27560,6256,548400,34364,0,0,0,0,18260,32707,5136600,56101,45820,38963,5685000,90465,'Trojan Infected','AES-T100'
27545,198893,172468,164973,6934,0,19504,2,173066.250022,10376.128102,31376.826867,0,204443.076889,45.8511,38.9633,84.8144,5.685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27594,6258.1,548820,34401,0,0,0,0,18257,32707,5136200,56097,45851,38965,5685000,90498,'Trojan Infected','AES-T200'
28033,198562,172369,164960,6850,0,19504,1,173046.832023,10376.128102,30966.654877,0,204013.486899,45.5527,38.9407,84.4934,5.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27302,6249.4,541760,34094,0,0,0,0,18250,32693,5135800,56076,45553,38942,5677500,90170,'Trojan Infected','AES-T300'
27325,199431,172899,165330,7007,0,19518,3,173451.418025,10385.704102,31910.42285,0,205361.840875,45.7246,38.9802,84.7048,5.7011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27399,6251.1,543910,34194,39.8946,3.6921,13018,56.6048,18286,32727,5144100,56154,45725,38982,5701100,90405,'Trojan Infected','AES-T400'
27009,198562,172369,164960,6850,0,19504,1,173046.832023,10376.128102,30966.654877,0,204013.486899,45.5527,38.9407,84.4934,5.6775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27302,6249.4,541760,34094,0,0,0,0,18250,32693,5135800,56076,45553,38942,5677500,90170,'Trojan Infected','AES-T500'
27140,198742,172419,165007,6852,0,19505,2,173107.214024,10376.660102,30975.698876,0,204082.912901,45.5643,38.9469,84.5112,5.6788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27310,6250.4,541920,34103,0,0,0,0,18254,32699,5136900,56086,45564,38949,5678800,90189,'Trojan Infected','AES-T600'
27421,198972,172545,165048,6935,0,19507,3,173162.010024,10377.724102,31349.162863,0,204511.172887,45.7951,38.9481,84.7432,5.6867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27542,6250.6,548360,34341,0.1327,0,38.79,0.1714,18253,32699,5138300,56088,45795,38950,5686700,90428,'Trojan Infected','AES-T700'
27421,199066,172639,165139,6938,0,19524,3,173272.400023,10386.768102,31357.142863,0,204629.542886,45.8041,38.9531,84.7572,5.6891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27544,6250.8,548340,34343,0.5295,0,155.1727,0.6846,18259,32704,5140600,56101,45804,38955,5689100,90445,'Trojan Infected','AES-T800'
27677,199607,172927,165430,6934,0,19634,3,173666.346033,10445.288103,31346.502863,0,205012.848896,45.8041,38.9578,84.7619,5.6969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27544,6250.9,548350,34344,0,0,0,0,18259,32708,5148600,56115,45804,38959,5696900,90458,'Trojan Infected','AES-T900'
