Number of ports,Number of nets,Number of cells,Number of combinational cells,Number of sequential cells,Number of macros/black boxes,Number of buf/inv,Number of references,Combinational area,Buf/Inv area,Noncombinational area,Macro/Black Box area,Total cell area,Cell Internal Power (mW),Net Switching Power (mW),Total Dynamic Power (mW),Cell Leakage Power (mW),IO_Pad Internal Power,IO_Pad Switching Power,IO_Pad Leakage Power,IO_Pad Total Power,Memory Internal Power,Memory Switching Power,Memory Leakage Power,Memory Total Power,Black_Box Internal Power,Black_Box Switching Power,Black_Box Leakage Power,Black_Box Total Power,Clock_Network Internal Power,Clock_Network Switching Power,Clock_Network Leakage Power,Clock_Network Total Power,Register Internal Power,Register Switching Power,Register Leakage Power,Register Total Power,Sequential Internal Power,Sequential Switching Power,Sequential Leakage Power,Sequential Total Power,Combinational Internal Power,Combinational Switching Power,Combinational Leakage Power,Combinational Total Power,Total Internal Power,Total Switching Power,Total Leakage Power,Total Total Power,Label,Circuit
336,5789,5329,0,5329,0,0,43,0,0,0,0,0,0,746.066,746.066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,742.8379,0,742.8379,0,742.8379,0,742.8379,'Trojan Free','S38417'
336,5800,5341,0,5341,0,0,43,0,0,0,0,0,0,746.7147,746.7147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.4731,0,743.4731,0,743.4731,0,743.4731,'Trojan Infected','S38417-T100'
336,5803,5344,0,5344,0,0,43,0,0,0,0,0,0,746.8525,746.8525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,743.61,0,743.61,0,743.61,0,743.61,'Trojan Infected','S38417-T200'
336,5834,5375,0,5375,0,0,46,0,0,0,0,0,0,747.4134,747.4134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744.1719,0,744.1719,0,744.1719,0,744.1719,'Trojan Infected','S38417-T300'
557,6387,5426,0,5426,0,0,12,0,0,0,0,0,0,695.2028,695.2028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.2219,0,695.2219,0,695.2219,0,695.2219,'Trojan Free','S35932'
557,6402,5442,0,5442,0,0,16,0,0,0,0,0,0,695.8289,695.8289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.8337,0,695.8337,0,695.8337,0,695.8337,'Trojan Infected','S35932-T100'
557,6398,5438,0,5438,0,0,14,0,0,0,0,0,0,695.9572,695.9572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,695.9634,0,695.9634,0,695.9634,0,695.9634,'Trojan Infected','S35932-T200'
557,6422,5462,0,5462,0,0,16,0,0,0,0,0,0,696.454,696.454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,696.4602,0,696.4602,0,696.4602,0,696.4602,'Trojan Infected','S35932-T300'
359,8348,6838,0,6838,0,0,12,0,0,0,0,0,0,725.0599,725.0599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.0731,0,725.0731,0,725.0731,0,725.0731,'Trojan Free','S35932'
359,8356,6846,0,6846,0,0,18,0,0,0,0,0,0,725.6233,725.6233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.6387,0,725.6387,0,725.6387,0,725.6387,'Trojan Infected','S35932-T400'
359,8361,6851,0,6851,0,0,22,0,0,0,0,0,0,725.8213,725.8213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.8283,0,725.8283,0,725.8283,0,725.8283,'Trojan Infected','S35932-T401'
359,8422,6911,0,6911,0,0,36,0,0,0,0,0,0,729.8246,729.8246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.8259,0,729.8259,0,729.8259,0,729.8259,'Trojan Infected','S35932-T402'
359,8372,6860,0,6860,0,0,26,0,0,0,0,0,0,726.3777,726.3777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.3796,0,726.3796,0,726.3796,0,726.3796,'Trojan Infected','S35932-T403'
359,8416,6904,0,6904,0,0,38,0,0,0,0,0,0,729.058,729.058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.0594,0,729.0594,0,729.0594,0,729.0594,'Trojan Infected','S35932-T404'
359,8358,6848,0,6848,0,0,20,0,0,0,0,0,0,725.6474,725.6474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.6544,0,725.6544,0,725.6544,0,725.6544,'Trojan Infected','S35932-T405'
359,8387,6874,0,6874,0,0,31,0,0,0,0,0,0,727.1711,727.1711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.178,0,727.178,0,727.178,0,727.178,'Trojan Infected','S35932-T406'
359,8385,6871,0,6871,0,0,32,0,0,0,0,0,0,727.0563,727.0563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.0632,0,727.0632,0,727.0632,0,727.0632,'Trojan Infected','S35932-T407'
359,8434,6921,0,6921,0,0,41,0,0,0,0,0,0,730.4565,730.4565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.4625,0,730.4625,0,730.4625,0,730.4625,'Trojan Infected','S35932-T408'
359,8388,6874,0,6874,0,0,30,0,0,0,0,0,0,727.2801,727.2801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.2873,0,727.2873,0,727.2873,0,727.2873,'Trojan Infected','S35932-T409'
359,8370,6860,0,6860,0,0,23,0,0,0,0,0,0,726.2457,726.2457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.2527,0,726.2527,0,726.2527,0,726.2527,'Trojan Infected','S35932-T410'
359,8370,6860,0,6860,0,0,24,0,0,0,0,0,0,726.2657,726.2657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.2727,0,726.2727,0,726.2727,0,726.2727,'Trojan Infected','S35932-T411'
359,8369,6859,0,6859,0,0,23,0,0,0,0,0,0,726.2234,726.2234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.2303,0,726.2303,0,726.2303,0,726.2303,'Trojan Infected','S35932-T412'
359,8413,6900,0,6900,0,0,40,0,0,0,0,0,0,729.1732,729.1732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,729.1748,0,729.1748,0,729.1748,0,729.1748,'Trojan Infected','S35932-T413'
359,8434,6921,0,6921,0,0,41,0,0,0,0,0,0,730.6595,730.6595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,730.6662,0,730.6662,0,730.6662,0,730.6662,'Trojan Infected','S35932-T414'
359,8366,6856,0,6856,0,0,22,0,0,0,0,0,0,726.096,726.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.0977,0,726.0977,0,726.0977,0,726.0977,'Trojan Infected','S35932-T415'
359,8441,6927,0,6927,0,0,37,0,0,0,0,0,0,731.0034,731.0034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731.0098,0,731.0098,0,731.0098,0,731.0098,'Trojan Infected','S35932-T416'
359,8373,6863,0,6863,0,0,22,0,0,0,0,0,0,726.369,726.369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.376,0,726.376,0,726.376,0,726.376,'Trojan Infected','S35932-T417'
359,8389,6875,0,6875,0,0,30,0,0,0,0,0,0,727.2981,727.2981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.3051,0,727.3051,0,727.3051,0,727.3051,'Trojan Infected','S35932-T418'
359,8383,6870,0,6870,0,0,34,0,0,0,0,0,0,727.1479,727.1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,727.135,0,727.135,0,727.135,0,727.135,'Trojan Infected','S35932-T421'
359,8365,6855,0,6855,0,0,22,0,0,0,0,0,0,726.0373,726.0373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.0391,0,726.0391,0,726.0391,0,726.0391,'Trojan Infected','S35932-T422'
359,8355,6845,0,6845,0,0,17,0,0,0,0,0,0,725.5575,725.5575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725.5727,0,725.5727,0,725.5727,0,725.5727,'Trojan Infected','S35932-T423'
359,8372,6860,0,6860,0,0,26,0,0,0,0,0,0,726.3674,726.3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,726.3691,0,726.3691,0,726.3691,0,726.3691,'Trojan Infected','S35932-T424'
359,8475,6961,0,6961,0,0,44,0,0,0,0,0,0,733.4008,733.4008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733.4072,0,733.4072,0,733.4072,0,733.4072,'Trojan Infected','S35932-T425'
